mood,location,latitude,longitude
Positive,United States,36.7014631,-118.755997
Positive,United States,43.0349931,-87.922497
Negative,United States,40.2452976,-75.6496424
Positive,Japan,34.7021912,135.4955866
Positive,,,
Positive,United States,36.2206081,-86.69563733154433
Positive,,,
Positive,Brazil,-23.5506507,-46.6333824
Positive,,,
Positive,,,
Positive,Canada,45.4121213,-75.6902639
Positive,,,
Positive,United States,32.7762719,-96.7968559
Positive,,,
Positive,Chile,-33.0302834,-71.5756776
Positive,,,
Positive,United States,30.4380832,-84.2809332
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Positive,United States,31.3271189,-89.2903392
Positive,Australia,-37.8142176,144.9631608
Positive,,,
Positive,Ukraine,49.4871968,31.2718321
Positive,,,
Positive,Ghana,5.7041391,-0.1687965
Positive,United Kingdom,54.8511628,-1.4595245655038704
Positive,Sweden,59.3251172,18.0710935
Positive,United States,25.7741728,-80.19362
Positive,Thailand,13.7785797,100.5745983
Positive,,,
Negative,Zimbabwe,-17.7927323,31.7678044
Positive,,,
Positive,,,
Positive,Japan,34.7021912,135.4955866
Positive,China,37.4187768,122.62409623065795
Positive,Laos,20.18371,104.25564
Positive,United Kingdom,52.5310214,-1.2649062
Positive,United States,38.8950368,-77.0365427
Positive,Philippines,12.7503486,122.7312101
Positive,Japan,35.3496709,139.5038799
Positive,Sweden,59.3251172,18.0710935
Positive,Ghana,5.7041391,-0.1687965
Positive,Japan,35.549399,140.2647303
Positive,,,
Negative,Egypt,30.1118628,31.2022296
Positive,,,
Negative,,,
Positive,Zimbabwe,-17.831773,31.045686
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Positive,Netherlands,52.3727598,4.8936041
Negative,Venezuela,8.0018709,-66.1109318
Negative,Japan,36.3893418,139.0632826
Positive,Sweden,59.3251172,18.0710935
Negative,United States,42.6511674,-73.754968
Positive,Japan,35.6777691,139.7646365
Positive,Serbia,44.8178131,20.4568974
Positive,France,47.2312459,6.0264538
Positive,Russia,55.2678421,39.4382849
Positive,Brazil,-10.3333333,-53.2
Negative,,,
Positive,,,
Positive,Brazil,-10.3333333,-53.2
Negative,Brazil,-10.3333333,-53.2
Positive,,,
Negative,,,
Positive,,,
Negative,Spain,38.1096615,-0.7919322
Positive,,,
Positive,Taiwan,25.1047591,121.5235231
Positive,Germany,51.0834196,10.4234469
Positive,Japan,34.2963089,135.8816819
Positive,,,
Positive,Italy,41.8933203,12.4829321
Negative,,,
Positive,,,
Positive,,,
Positive,Japan,35.6938097,139.7532163
Negative,,,
Positive,Spain,40.4167047,-3.7035825
Positive,United States,35.6729639,-79.0392919
Positive,United States,40.7127281,-74.0060152
Positive,Japan,35.6777691,139.7646365
Positive,,,
Positive,Sweden,59.3251172,18.0710935
Positive,,,
Positive,,,
Positive,Indonesia,-6.3287951,106.9566826
Negative,,,
Negative,,,
Negative,Egypt,26.2540493,29.2675469
Positive,United States,40.7127281,-74.0060152
Negative,United Kingdom,51.546956,0.1629171
Positive,United States,40.7127281,-74.0060152
Positive,Indonesia,-4.0517644,103.7798337
Positive,United States,40.7127281,-74.0060152
Positive,,,
Positive,Portugal,38.365989299999995,-8.531313383677643
Positive,United States,40.7127281,-74.0060152
Positive,,,
Negative,,,
Positive,United Kingdom,53.4071991,-2.99168
Positive,,,
Positive,Spain,40.5916186,-4.7817538
Positive,,,
Positive,Bosnia and Herzegovina,44.5256207,18.6968138
Positive,,,
Negative,,,
Positive,,,
Negative,,,
Positive,,,
Positive,,,
Positive,Sweden,59.3251172,18.0710935
Positive,,,
Negative,,,
Positive,United States,33.8455911,-118.3886766
Positive,,,
Negative,,,
Positive,Brazil,-10.3333333,-53.2
Positive,India,26.9154576,75.8189817
Positive,,,
Positive,Netherlands,52.3054468,4.6927278
Positive,,,
Negative,Liechtenstein,47.1416307,9.5531527
Positive,United States,30.4380832,-84.2809332
Positive,,,
Negative,United States,37.1232245,-78.4927721
Positive,,,
Positive,Brazil,-10.3333333,-53.2
Positive,Brazil,-5.3264703,-39.7156073
Positive,Philippines,14.0683499,121.325674
Negative,,,
Positive,,,
Positive,Germany,51.0834196,10.4234469
Positive,,,
Positive,,,
Positive,United States,38.9719384,-95.2359496
Positive,South Korea,36.638392,127.6961188
Positive,United States,40.7127281,-74.0060152
Positive,,,
Positive,,,
Positive,Spain,40.4167047,-3.7035825
Positive,United States,39.7837304,-100.4458825
Positive,,,
Positive,Japan,35.6777691,139.7646365
Negative,France,45.7578137,4.8320114
Positive,United States,34.0194704,-118.4912273
Positive,,,
Positive,South Africa,-33.928992,18.417396
Positive,France,48.9883962,7.3559935
Positive,Indonesia,-6.28188375,106.91335728968721
Positive,United States,40.4416941,-79.9900861
Positive,United States,39.7837304,-100.4458825
Positive,,,
Negative,Canada,43.9193171,-80.0973754
Positive,Sweden,59.3251172,18.0710935
Positive,Slovenia,46.0715227,14.509137
Negative,United States,45.709097,-68.8590201
Positive,Norway,60.3943055,5.3259192
Positive,India,22.3511148,78.6677428
Positive,Spain,40.5916186,-4.7817538
Positive,India,22.3511148,78.6677428
Positive,,,
Positive,United States,39.362033,-123.752998
Positive,United States,41.6500201,-72.7342163
Positive,France,48.8566969,2.3514616
Positive,,,
Positive,,,
Positive,,,
Positive,Singapore,1.357107,103.8194992
Negative,Argentina,-23.3161458,-65.7595288
Negative,Liechtenstein,47.1416307,9.5531527
Positive,,,
Positive,Canada,43.4652699,-80.5222961
Positive,Malaysia,3.06743335,101.49974883259432
Positive,,,
Positive,,,
Negative,United States,40.7127281,-74.0060152
Negative,,,
Positive,United Kingdom,53.5782863,-2.4300367
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Positive,,,
Positive,United Kingdom,53.5782863,-2.4300367
Positive,Brazil,-23.5506507,-46.6333824
Positive,Chile,-27.1259451,-109.34963353785872
Negative,,,
Positive,United States,37.7790262,-122.419906
Negative,,,
Positive,,,
Positive,Taiwan,25.1047591,121.5235231
Positive,,,
Positive,France,45.7578137,4.8320114
Negative,Spain,40.1888604,-3.67143
Negative,Brazil,-23.5506507,-46.6333824
Positive,Brazil,-10.3333333,-53.2
Positive,India,21.7718836,72.1416449
Positive,Germany,50.1106444,8.6820917
Negative,,,
Positive,,,
Positive,Canada,50.1317847,-123.1192805
Negative,,,
Negative,Japan,36.52198,139.033483
Positive,Philippines,14.6883322,121.102176
Positive,,,
Negative,El Salvador,13.6989939,-89.1914249
Positive,Germany,50.735851,7.10066
Positive,,,
Positive,United Kingdom,53.5120412,-2.2434612
Positive,India,28.6138954,77.2090057
Positive,Indonesia,-6.3287951,106.9566826
Positive,,,
Positive,United States,39.7837304,-100.4458825
Positive,,,
Negative,,,
Negative,,,
Positive,,,
Positive,United States,33.8358492,-118.3406288
Positive,Japan,34.979149,138.38299
Positive,India,28.6138954,77.2090057
Positive,,,
Negative,France,44.8980172,1.46943
Positive,,,
Negative,Romania,44.4361414,26.1027202
Positive,,,
Positive,Russia,59.9818762,30.21469534732587
Negative,,,
Positive,,,
Positive,,,
Negative,United States,41.2587459,-95.9383758
